Year,Team,Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts
2023,Giants,266,407,4760,2886,1874,267,19,454,518
2023,Jaguars,377,371,5772,4126,1646,336,30,453,620
2023,Jets,268,355,4566,2919,1647,260,33,388,601
2023,Lions,461,395,6712,4401,2311,375,23,500,606
2023,Packers,383,350,5873,3968,1905,338,18,441,581
2023,Panthers,236,416,4510,2741,1769,297,20,445,586
2023,Patriots,236,366,4696,3069,1627,261,29,415,557
2023,Raiders,332,331,4922,3380,1542,292,24,413,557
2023,Rams,404,377,6108,4063,2045,351,18,477,583
2023,Ravens,483,280,6296,3635,2661,359,19,541,494
2023,Saints,402,327,5732,3990,1742,337,18,480,606
2023,Seahawks,364,402,5490,3910,1580,317,17,382,575
2023,Steelers,304,324,5173,3163,2010,287,16,487,506
2023,Texans,377,353,5820,4173,1647,329,14,444,592
2023,Titans,305,367,4913,3067,1846,298,20,444,494
2023,Vikings,344,362,5912,4359,1553,340,34,393,631
