Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,Dexter McCluster,247.0,55.0,1.0,31.0,260.0,1.0,41.0,213.0,507.0,2.0,26.0,WR
2015,Dez Bryant,0.0,0.0,0.0,31.0,401.0,3.0,74.0,135.0,401.0,3.0,27.0,WR
2015,Dion Lewis,234.0,49.0,2.0,36.0,388.0,2.0,50.0,338.0,622.0,4.0,25.0,RB
2015,Dion Sims,0.0,0.0,0.0,18.0,127.0,1.0,25.0,85.0,127.0,1.0,24.0,TE
2015,Donald Brown,229.0,59.0,1.0,8.0,88.0,0.0,13.0,109.0,317.0,1.0,28.0,RB
2015,Donte Moncrief,0.0,0.0,0.0,64.0,733.0,6.0,105.0,271.0,733.0,6.0,22.0,WR
2015,Donteea Dye,0.0,0.0,0.0,11.0,132.0,1.0,30.0,38.0,132.0,1.0,22.0,WR
2015,Dontrelle Inman,0.0,0.0,0.0,35.0,486.0,3.0,65.0,182.0,486.0,3.0,26.0,WR
2015,Dorial Green-Beckham,0.0,0.0,0.0,32.0,549.0,4.0,66.0,149.0,549.0,4.0,22.0,WR
2015,Doug Baldwin,0.0,0.0,0.0,78.0,1069.0,14.0,104.0,438.0,1069.0,14.0,27.0,WR
2015,Doug Martin,1402.0,288.0,6.0,33.0,271.0,1.0,42.0,229.0,1673.0,7.0,Unknown,RB
2015,DuJuan Harris,189.0,48.0,0.0,9.0,97.0,0.0,14.0,101.0,286.0,0.0,Unknown,RB
2015,Duke Johnson,379.0,104.0,0.0,61.0,534.0,2.0,74.0,479.0,913.0,2.0,22.0,RB
2015,Dwayne Allen,1.0,1.0,0.0,16.0,109.0,1.0,29.0,60.0,110.0,1.0,25.0,TE
2015,Dwayne Harris,12.0,2.0,0.0,36.0,396.0,4.0,57.0,137.0,408.0,4.0,28.0,WR
2015,Ed Dickson,0.0,0.0,0.0,17.0,121.0,2.0,26.0,57.0,121.0,2.0,28.0,TE
2015,Eddie Lacy,758.0,187.0,3.0,20.0,188.0,2.0,28.0,220.0,946.0,5.0,25.0,RB
2015,Eddie Royal,-1.0,1.0,0.0,37.0,238.0,1.0,50.0,187.0,237.0,1.0,29.0,WR
2015,Emmanuel Sanders,29.0,3.0,0.0,76.0,1135.0,6.0,137.0,375.0,1164.0,6.0,28.0,WR
2015,Eric Decker,0.0,0.0,0.0,80.0,1027.0,12.0,131.0,224.0,1027.0,12.0,28.0,WR
2015,Eric Ebron,0.0,0.0,0.0,47.0,537.0,5.0,69.0,298.0,537.0,5.0,22.0,TE
2015,Fitzgerald Toussaint,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,25.0,RB
2015,Fozzy Whittaker,108.0,25.0,1.0,12.0,64.0,0.0,15.0,110.0,172.0,1.0,26.0,RB
2015,Frank Gore,967.0,260.0,6.0,34.0,267.0,1.0,59.0,287.0,1234.0,7.0,32.0,RB
2015,Fred Jackson,100.0,26.0,0.0,32.0,257.0,2.0,41.0,262.0,357.0,2.0,34.0,RB
2015,Garrett Celek,0.0,0.0,0.0,19.0,186.0,3.0,28.0,102.0,186.0,3.0,27.0,TE
2015,Garrett Graham,0.0,0.0,0.0,4.0,30.0,1.0,19.0,9.0,30.0,1.0,29.0,TE
2015,Gary Barnidge,0.0,0.0,0.0,79.0,1043.0,9.0,123.0,362.0,1043.0,9.0,30.0,TE
2015,Gavin Escobar,0.0,0.0,0.0,8.0,64.0,1.0,13.0,34.0,64.0,1.0,24.0,TE
2015,Geoff Swaim,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Unknown,TE
2015,Giovani Bernard,730.0,154.0,2.0,49.0,472.0,0.0,66.0,478.0,1202.0,2.0,24.0,RB
2015,Golden Tate,41.0,6.0,0.0,90.0,813.0,6.0,128.0,549.0,854.0,6.0,27.0,WR
2015,Greg Jennings,0.0,0.0,0.0,19.0,208.0,1.0,35.0,67.0,208.0,1.0,32.0,WR
2015,Greg Olsen,0.0,0.0,0.0,77.0,1104.0,7.0,123.0,366.0,1104.0,7.0,30.0,TE
2015,Greg Salas,0.0,0.0,0.0,3.0,41.0,0.0,5.0,13.0,41.0,0.0,Unknown,WR
2015,Griff Whalen,0.0,0.0,0.0,19.0,205.0,1.0,26.0,54.0,205.0,1.0,25.0,WR
2015,Harry Douglas,-6.0,1.0,0.0,36.0,411.0,2.0,71.0,132.0,405.0,2.0,31.0,WR
2015,Heath Miller,2.0,1.0,0.0,60.0,535.0,2.0,81.0,210.0,537.0,2.0,33.0,TE
2015,Isaiah Crowell,706.0,185.0,4.0,19.0,182.0,1.0,22.0,221.0,888.0,5.0,22.0,RB
2015,Jack Doyle,0.0,0.0,0.0,12.0,72.0,1.0,14.0,55.0,72.0,1.0,25.0,TE
2015,Jacob Tamme,0.0,0.0,0.0,59.0,657.0,1.0,82.0,217.0,657.0,1.0,30.0,TE
2015,Jacquizz Rodgers,41.0,14.0,0.0,1.0,10.0,0.0,3.0,15.0,51.0,0.0,Unknown,RB
2015,Jaelen Strong,0.0,0.0,0.0,14.0,161.0,3.0,24.0,70.0,161.0,3.0,21.0,WR
2015,Jake Stoneburner,0.0,0.0,0.0,5.0,47.0,2.0,5.0,14.0,47.0,2.0,26.0,TE
2015,Jalston Fowler,13.0,7.0,1.0,5.0,44.0,1.0,6.0,42.0,57.0,2.0,25.0,RB
2015,Jamaal Charles,364.0,71.0,4.0,21.0,177.0,1.0,30.0,212.0,541.0,5.0,29.0,RB
2015,James Hanna,0.0,0.0,0.0,9.0,79.0,0.0,14.0,76.0,79.0,0.0,Unknown,TE
2015,James Jones,0.0,0.0,0.0,50.0,890.0,8.0,100.0,230.0,890.0,8.0,31.0,WR
2015,James O'Shaughnessy,0.0,0.0,0.0,6.0,87.0,0.0,9.0,59.0,87.0,0.0,Unknown,TE
2015,James Starks,601.0,148.0,2.0,43.0,392.0,3.0,53.0,479.0,993.0,5.0,29.0,RB
2015,James White,56.0,22.0,2.0,40.0,410.0,4.0,54.0,357.0,466.0,6.0,23.0,RB
2015,Jamison Crowder,2.0,2.0,0.0,59.0,604.0,2.0,79.0,339.0,606.0,2.0,22.0,WR
2015,Jared Cook,0.0,0.0,0.0,39.0,481.0,0.0,73.0,200.0,481.0,0.0,28.0,TE
2015,Jarius Wright,29.0,1.0,0.0,34.0,442.0,0.0,49.0,176.0,471.0,0.0,Unknown,WR
2015,Jaron Brown,0.0,0.0,0.0,11.0,144.0,1.0,23.0,27.0,144.0,1.0,25.0,WR
