Year,Name,Position,Age,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs
2015,Marques Colston,WR,32,0,0,0,45,520,4,67,197,520,4
2015,Marquess Wilson,WR,23,0,0,0,28,464,1,51,191,464,1
2015,Marquise Goodwin,WR,25,0,0,0,2,24,0,2,-1,24,0
2015,Marshawn Lynch,RB,29,417,111,3,13,80,0,22,88,497,3
2015,Martavis Bryant,WR,24,37,5,1,50,765,6,92,352,802,7
2015,Martellus Bennett,TE,28,0,0,0,53,439,3,80,226,439,3
2015,Marvin Jones,WR,25,33,5,0,65,816,4,103,298,849,4
2015,Matt Asiata,RB,28,112,29,0,19,132,0,22,204,244,0
2015,Matt Forte,RB,30,898,218,4,44,389,3,58,369,1287,7
2015,Matt Jones,RB,22,490,144,3,19,304,1,25,263,794,4
2015,Matt LaCosse,TE,24,0,0,0,3,22,0,3,7,22,0
2015,Maxx Williams,TE,21,0,0,0,32,268,1,47,152,268,1
2015,Melvin Gordon,RB,22,641,184,0,33,192,0,37,259,833,0
2015,Michael Burton,TE,23,2,4,0,6,39,1,6,32,41,1
2015,Michael Campanaro,WR,24,17,2,1,5,35,0,6,27,52,1
2015,Michael Crabtree,WR,28,0,0,0,85,922,9,146,274,922,9
2015,Michael Floyd,WR,26,0,0,0,52,849,6,89,217,849,6
2015,Michael Hoomanawanui,TE,27,0,1,0,11,76,3,16,30,76,3
2015,Mike Davis,RB,22,58,35,0,7,38,0,13,40,96,0
2015,Mike Evans,WR,22,0,0,0,74,1206,3,147,247,1206,3
2015,Mike Gillislee,RB,25,267,47,3,6,29,0,7,35,296,3
2015,Mike Tolbert,RB,30,256,62,1,18,154,3,22,142,410,4
2015,Miles Austin,WR,31,0,0,0,13,224,1,31,66,224,1
2015,Mohamed Sanu,WR,26,71,10,2,33,394,0,50,212,465,2
2015,Mychal Rivera,TE,25,0,0,0,32,280,1,46,147,280,1
2015,MyCole Pruitt,TE,23,0,0,0,10,89,0,16,48,89,0
2015,Myles White,WR,25,0,0,0,7,88,1,20,10,88,1
2015,Nate Washington,WR,32,0,0,0,47,658,4,95,159,658,4
2015,Nelson Agholor,WR,22,0,0,0,23,283,1,44,95,283,1
2015,Nick Boyle,TE,22,0,0,0,18,153,0,22,95,153,0
2015,Nick O'Leary,TE,29,0,0,0,1,37,0,3,37,37,0
2015,Nick Williams,WR,25,0,0,0,17,159,2,25,104,159,2
2015,Odell Beckham Jr.,WR,23,3,1,0,96,1450,13,159,591,1453,13
2015,Orleans Darkwa,RB,23,153,36,1,3,31,0,5,29,184,1
2015,Owen Daniels,TE,33,0,0,0,46,517,3,77,269,517,3
2015,Patrick DiMarco,RB,26,0,1,0,13,110,2,17,52,110,2
2015,Paul Richardson,WR,23,0,0,0,1,40,0,1,13,40,0
2015,Percy Harvin,WR,27,31,5,0,19,218,1,30,91,249,1
2015,Phillip Dorsett,WR,22,17,3,0,18,225,1,39,63,242,1
2015,Phillip Supernaw,TE,25,0,0,0,3,32,0,4,14,32,0
2015,Pierre Garcon,WR,29,0,0,0,72,777,6,110,177,777,6
2015,Quincy Enunwa,WR,23,0,0,0,22,315,0,46,141,315,0
2015,Quinton Patton,WR,25,5,1,0,30,394,1,57,220,399,1
2015,Randall Cobb,WR,25,50,13,0,79,829,6,129,446,879,6
2015,Rashad Greene,WR,23,0,0,0,19,93,2,35,54,93,2
2015,Rashad Jennings,RB,30,863,195,3,29,296,1,40,311,1159,4
2015,Rashad Ross,WR,25,0,0,0,8,184,1,13,60,184,1
2015,Reggie Bush,RB,30,28,8,0,4,19,0,10,25,47,0
2015,Rex Burkhead,RB,25,4,4,0,10,94,1,15,33,98,1
2015,Rhett Ellison,TE,27,0,0,0,11,124,1,18,129,124,1
2015,Ricardo Lockette,WR,29,0,0,0,4,69,1,7,12,69,1
2015,Richard Rodgers,TE,23,11,1,0,58,510,8,85,231,521,8
2015,Riley Cooper,WR,28,0,0,0,21,327,2,41,65,327,2
2015,Rishard Matthews,WR,26,4,1,0,43,662,4,61,244,666,4
2015,Rob Gronkowski,TE,26,0,0,0,72,1176,11,120,574,1176,11
2015,Robert Turbin,RB,26,199,50,1,7,23,0,10,24,222,1
2015,Robert Woods,WR,23,0,1,0,47,552,3,81,148,552,3
2015,Rod Smith,RB,23,5,2,0,1,6,0,2,5,11,0
2015,Rod Streater,WR,27,0,0,0,1,8,0,1,0,8,0
2015,Roddy White,WR,34,0,0,0,43,506,1,70,115,506,1
2015,Ronnie Hillman,RB,24,863,207,7,24,111,0,35,123,974,7
2015,Roosevelt Nix,RB,23,0,0,0,2,16,0,2,11,16,0
2015,Roy Helu,RB,27,39,17,0,9,75,1,16,89,114,1
2015,Rueben Randle,WR,24,0,0,0,57,797,8,90,205,797,8
2015,Russell Shepard,WR,25,0,0,0,3,28,1,10,1,28,1
2015,Ryan Grant,WR,25,0,0,0,23,268,2,42,98,268,2
2015,Ryan Griffin,TE,25,0,0,0,20,251,2,34,99,251,2
2015,Ryan Hewitt,RB,24,0,0,0,8,99,0,12,61,99,0
2015,Ryan Mathews,RB,28,539,106,6,20,146,1,28,163,685,7
2015,Sammie Coates,WR,22,0,0,0,1,11,0,2,4,11,0
2015,Sammy Watkins,WR,22,1,1,0,60,1047,9,95,185,1048,9
2015,Scott Chandler,TE,30,0,0,0,23,259,4,42,77,259,4
2015,Scott Simonson,TE,23,0,0,0,1,10,0,1,9,10,0
