Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2019,Jared Cook,TE,32,77,254,14,7,0,0,0,43,705,9,65,259,705,9,Saints,NO,458.0,341.0,5982,581,4244,36,405,1738,12,347,8,0.5932,0.076563,7.304647,4.291358,0.008114,0.661538,16.39535,10.84615,6.023256,0.209302,0.138462,0.0,0.0,16.39535,0.209302,7.304647,4.291358,0.061962,0.02963,6.066937,0.076563,5,10,0.5,5,0,0,167.5,6
2020,Jared Cook,TE,33,77,254,15,5,0,0,0,37,504,7,60,115,504,7,Saints,NO,482.0,337.0,6023,522,3758,28,494,2265,30,367,17,0.7162,0.080027,7.199234,4.58502,0.016732,0.616667,13.62162,8.4,3.108108,0.189189,0.116667,0.0,0.0,13.62162,0.189189,7.199234,4.58502,0.05364,0.060729,5.92815,0.080027,8,17,0.4706,6,0,0,127.4,13
2021,Jared Cook,TE,34,77,254,16,10,0,0,0,48,564,4,83,238,564,4,Chargers,LAC,474.0,459.0,6634,674,4800,38,423,1834,18,401,22,0.64,0.07145,7.121662,4.335697,0.020055,0.578313,11.75,6.795181,4.958333,0.083333,0.048193,0.0,0.0,11.75,0.083333,7.121662,4.335697,0.05638,0.042553,6.047402,0.07145,9,15,0.6,5,0,0,132.4,16
2021,Jaret Patterson,RB,22,69,195,17,1,266,68,2,10,73,0,11,75,339,2,Commanders,WAS,335.0,434.0,5502,550,3441,21,477,2061,13,345,24,0.52,0.060887,6.256364,4.320755,0.023369,0.909091,7.3,6.636364,7.5,0.0,0.0,3.911765,0.029412,4.346154,0.025641,6.256364,4.320755,0.038182,0.027254,5.357352,0.060887,0,0,0.0,0,6,1,55.9,69
2015,Jarius Wright,WR,26,70,191,16,3,29,1,0,34,442,0,49,176,471,0,Vikings,MIN,365.0,302.0,5139,454,2928,14,474,2211,18,297,17,0.4773,0.071025,6.449339,4.664557,0.018319,0.693878,13.0,9.020408,5.176471,0.0,0.0,29.0,0.0,13.45714,0.0,6.449339,4.664557,0.030837,0.037975,5.537716,0.071025,0,3,0.0,0,0,0,79.1,92
2016,Jarius Wright,WR,27,70,191,8,1,0,0,0,11,67,1,14,41,67,1,Vikings,MIN,327.0,307.0,5041,588,3836,20,380,1205,9,303,16,0.46,0.064868,6.52381,3.171053,0.016529,0.785714,6.090909,4.785714,3.727273,0.090909,0.071429,0.0,0.0,6.090909,0.090909,6.52381,3.171053,0.034014,0.023684,5.207645,0.064868,1,2,0.5,1,0,0,23.7,148
2017,Jarius Wright,WR,28,70,191,16,0,0,0,0,18,198,2,25,91,198,2,Vikings,MIN,382.0,252.0,5710,527,3753,25,501,1957,15,334,14,0.5556,0.0669,7.121442,3.906188,0.013619,0.72,11.0,7.92,5.055556,0.111111,0.08,0.0,0.0,11.0,0.111111,7.121442,3.906188,0.047438,0.02994,5.554475,0.0669,2,2,1.0,2,0,0,49.8,109
2018,Jarius Wright,WR,29,70,191,16,6,39,2,0,43,447,1,59,212,486,1,Panthers,CAR,376.0,382.0,5972,563,3836,28,416,2136,17,356,22,0.6207,0.06296,6.813499,5.134615,0.022472,0.728814,10.39535,7.576271,4.930233,0.023256,0.016949,19.5,0.0,10.8,0.022222,6.813499,5.134615,0.049734,0.040865,6.100102,0.06296,3,5,0.6,1,0,0,97.6,83
2019,Jarius Wright,WR,30,70,191,16,9,-7,1,0,28,296,0,58,92,289,0,Panthers,CAR,340.0,470.0,5469,633,3650,17,386,1819,20,335,35,0.58,0.062169,5.766193,4.712435,0.034347,0.482759,10.57143,5.103448,3.285714,0.0,0.0,-7.0,0.0,9.965517,0.0,5.766193,4.712435,0.026856,0.051813,5.367026,0.062169,2,4,0.5,1,0,0,56.9,114
2015,Jaron Brown,WR,25,74,205,16,0,0,0,0,11,144,1,23,27,144,1,Cardinals,ARZ,489.0,313.0,6533,562,4616,35,452,1917,16,373,24,0.6,0.074851,8.213523,4.24115,0.023669,0.478261,13.09091,6.26087,2.454545,0.090909,0.043478,0.0,0.0,13.09091,0.090909,8.213523,4.24115,0.062278,0.035398,6.442801,0.074851,3,6,0.5,1,0,0,31.4,128
